source_accession,source_label,target_accession,target_label,status,count,percent
GCF_000005845.2,MG1655 baseline,GCF_036503815.1,2017-02-2CC,complex_alignment_context,255,0.8232977109095019
GCF_000005845.2,MG1655 baseline,GCF_036503815.1,2017-02-2CC,nonalignable,8981,28.996222516385238
GCF_000005845.2,MG1655 baseline,GCF_036503815.1,2017-02-2CC,nonreciprocal_mapping,792,2.557065831530688
GCF_000005845.2,MG1655 baseline,GCF_036503815.1,2017-02-2CC,rejected_match,406,1.3108191005068932
GCF_000005845.2,MG1655 baseline,GCF_036503815.1,2017-02-2CC,target_not_callable,326,1.0525296225745004
GCF_000005845.2,MG1655 baseline,GCF_036503815.1,2017-02-2CC,target_reference_match,9829,31.7340909824686
GCF_036503815.1,2017-02-2CC,GCF_000005845.2,MG1655 baseline,accepted_match,10303,8.220894140927333
GCF_036503815.1,2017-02-2CC,GCF_000005845.2,MG1655 baseline,ambiguous_mapping,0,0.0
GCF_036503815.1,2017-02-2CC,GCF_000005845.2,MG1655 baseline,callable_no_candidate,177,0.14123054090499254
GCF_036503815.1,2017-02-2CC,GCF_000005845.2,MG1655 baseline,complex_alignment_context,374,0.2984193350195888
GCF_036503815.1,2017-02-2CC,GCF_000005845.2,MG1655 baseline,nonalignable,33233,26.51703144573795
GCF_036503815.1,2017-02-2CC,GCF_000005845.2,MG1655 baseline,nonreciprocal_mapping,1912,1.5256090068381114
GCF_036503815.1,2017-02-2CC,GCF_000005845.2,MG1655 baseline,rejected_match,48,0.038299807703048826
GCF_036503815.1,2017-02-2CC,GCF_000005845.2,MG1655 baseline,target_not_callable,35,0.027926943116806435
GCF_036503815.1,2017-02-2CC,GCF_000005845.2,MG1655 baseline,target_reference_match,79245,63.23058877975217
GCF_000005845.2,MG1655 baseline,GCF_005843885.1,E4742,accepted_match,1236,3.990572434055468
GCF_000005845.2,MG1655 baseline,GCF_005843885.1,E4742,ambiguous_mapping,0,0.0
GCF_000005845.2,MG1655 baseline,GCF_005843885.1,E4742,callable_no_candidate,14,0.04520065863816873
GCF_000005845.2,MG1655 baseline,GCF_005843885.1,E4742,complex_alignment_context,139,0.4487779679075324
GCF_000005845.2,MG1655 baseline,GCF_005843885.1,E4742,nonalignable,19091,61.63755529009137
GCF_000005845.2,MG1655 baseline,GCF_005843885.1,E4742,nonreciprocal_mapping,48,0.15497368675943562
GCF_000005845.2,MG1655 baseline,GCF_005843885.1,E4742,rejected_match,3883,12.536725535143512
GCF_000005845.2,MG1655 baseline,GCF_005843885.1,E4742,target_not_callable,1169,3.774254996287089
GCF_000005845.2,MG1655 baseline,GCF_005843885.1,E4742,target_reference_match,5393,17.411939431117425
GCF_005843885.1,E4742,GCF_000005845.2,MG1655 baseline,accepted_match,1236,2.512144062112559
GCF_005843885.1,E4742,GCF_000005845.2,MG1655 baseline,ambiguous_mapping,0,0.0
GCF_005843885.1,E4742,GCF_000005845.2,MG1655 baseline,callable_no_candidate,7,0.014227353102579216
GCF_005843885.1,E4742,GCF_000005845.2,MG1655 baseline,complex_alignment_context,62,0.12601369890855876
GCF_005843885.1,E4742,GCF_000005845.2,MG1655 baseline,nonalignable,30253,61.48858763033272
GCF_005843885.1,E4742,GCF_000005845.2,MG1655 baseline,nonreciprocal_mapping,6,0.012194874087925042
GCF_005843885.1,E4742,GCF_000005845.2,MG1655 baseline,rejected_match,23,0.046747017337046
GCF_005843885.1,E4742,GCF_000005845.2,MG1655 baseline,target_not_callable,33,0.06707180748358774
GCF_005843885.1,E4742,GCF_000005845.2,MG1655 baseline,target_reference_match,17581,35.73301355663503
GCF_000005845.2,MG1655 baseline,GCF_000026225.1,ATCC 35469,accepted_match,550,1.7757401607852
GCF_000005845.2,MG1655 baseline,GCF_000026225.1,ATCC 35469,ambiguous_mapping,0,0.0
GCF_000005845.2,MG1655 baseline,GCF_000026225.1,ATCC 35469,callable_no_candidate,11,0.035514803215704
GCF_000005845.2,MG1655 baseline,GCF_000026225.1,ATCC 35469,complex_alignment_context,90,0.2905756626739418
GCF_000005845.2,MG1655 baseline,GCF_000026225.1,ATCC 35469,nonalignable,20685,66.7839731378943
GCF_000005845.2,MG1655 baseline,GCF_000026225.1,ATCC 35469,nonreciprocal_mapping,509,1.6433668033448487
GCF_000005845.2,MG1655 baseline,GCF_000026225.1,ATCC 35469,rejected_match,4079,13.169534756077875
GCF_000005845.2,MG1655 baseline,GCF_000026225.1,ATCC 35469,target_not_callable,573,1.849998385690763
GCF_000005845.2,MG1655 baseline,GCF_000026225.1,ATCC 35469,target_reference_match,4476,14.451296290317373
GCF_000026225.1,ATCC 35469,GCF_000005845.2,MG1655 baseline,accepted_match,550,3.603249475890985
GCF_000026225.1,ATCC 35469,GCF_000005845.2,MG1655 baseline,ambiguous_mapping,0,0.0
GCF_000026225.1,ATCC 35469,GCF_000005845.2,MG1655 baseline,callable_no_candidate,16,0.10482180293501048
GCF_000026225.1,ATCC 35469,GCF_000005845.2,MG1655 baseline,complex_alignment_context,35,0.22929769392033544
GCF_000026225.1,ATCC 35469,GCF_000005845.2,MG1655 baseline,nonalignable,9504,62.264150943396224
GCF_000026225.1,ATCC 35469,GCF_000005845.2,MG1655 baseline,nonreciprocal_mapping,393,2.574685534591195
GCF_000026225.1,ATCC 35469,GCF_000005845.2,MG1655 baseline,rejected_match,27,0.17688679245283018
GCF_000026225.1,ATCC 35469,GCF_000005845.2,MG1655 baseline,target_not_callable,5,0.03275681341719078
GCF_000026225.1,ATCC 35469,GCF_000005845.2,MG1655 baseline,target_reference_match,4734,31.014150943396228
GCF_000005845.2,MG1655 baseline,GCF_002900365.1,HT073016,accepted_match,770,2.48603622509928
GCF_000005845.2,MG1655 baseline,GCF_002900365.1,HT073016,ambiguous_mapping,0,0.0
GCF_000005845.2,MG1655 baseline,GCF_002900365.1,HT073016,callable_no_candidate,9,0.029057566267394183
GCF_000005845.2,MG1655 baseline,GCF_002900365.1,HT073016,complex_alignment_context,124,0.40034869079520874
GCF_000005845.2,MG1655 baseline,GCF_002900365.1,HT073016,nonalignable,22512,72.68265909017532
GCF_000005845.2,MG1655 baseline,GCF_002900365.1,HT073016,nonreciprocal_mapping,513,1.6562812772414683
GCF_000005845.2,MG1655 baseline,GCF_002900365.1,HT073016,rejected_match,2017,6.512123462370452
GCF_000005845.2,MG1655 baseline,GCF_002900365.1,HT073016,target_not_callable,1511,4.878442514448068
GCF_000005845.2,MG1655 baseline,GCF_002900365.1,HT073016,target_reference_match,3517,11.355051173602815
GCF_002900365.1,HT073016,GCF_000005845.2,MG1655 baseline,accepted_match,770,1.7440148581006092
GCF_002900365.1,HT073016,GCF_000005845.2,MG1655 baseline,ambiguous_mapping,0,0.0
GCF_002900365.1,HT073016,GCF_000005845.2,MG1655 baseline,callable_no_candidate,9,0.0203845892505266
GCF_002900365.1,HT073016,GCF_000005845.2,MG1655 baseline,complex_alignment_context,22,0.049828995945731695
GCF_002900365.1,HT073016,GCF_000005845.2,MG1655 baseline,nonalignable,32077,72.65294104323797
GCF_002900365.1,HT073016,GCF_000005845.2,MG1655 baseline,nonreciprocal_mapping,1036,2.3464927181717288
GCF_002900365.1,HT073016,GCF_000005845.2,MG1655 baseline,rejected_match,12,0.02717945233403547
GCF_002900365.1,HT073016,GCF_000005845.2,MG1655 baseline,target_not_callable,0,0.0
GCF_002900365.1,HT073016,GCF_000005845.2,MG1655 baseline,target_reference_match,10225,23.15915834295939
