baseline_accession,baseline_gene_id,baseline_gene_name,alternative_accession,alternative_gene_id,alternative_gene_name,comparison_status,baseline_variant_count,alternative_variant_count,exact_shared_variant_count,target_only_variant_count,accepted_match_count,rejected_match_count,target_reference_match_count,callable_no_candidate_count,target_not_callable_count,unresolved_projection_count,burden_explanation
GCF_000005845.2,b0034,caiF,GCF_003697165.2,EAS44_RS20450,caiF,comparable,2,9,1,8,1,0,1,0,0,0,partially_shared_variants
GCF_000005845.2,b0035,caiE,GCF_003697165.2,EAS44_RS20445,caiE,comparable,10,17,6,11,6,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b0036,caiD,GCF_003697165.2,EAS44_RS20440,caiD,comparable,11,14,6,8,6,0,5,0,0,0,partially_shared_variants
GCF_000005845.2,b0037,caiC,GCF_003697165.2,EAS44_RS20435,caiC,comparable,30,41,11,30,11,0,19,0,0,0,partially_shared_variants
GCF_000005845.2,b0038,caiB,GCF_003697165.2,EAS44_RS20430,caiB,comparable,8,30,4,26,4,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b0039,caiA,GCF_003697165.2,EAS44_RS20425,caiA,comparable,5,22,1,21,1,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b0040,caiT,GCF_003697165.2,EAS44_RS20420,caiT,comparable,12,18,6,12,6,0,6,0,0,0,partially_shared_variants
GCF_000005845.2,b0041,fixA,GCF_003697165.2,EAS44_RS20415,fixA,comparable,6,14,3,11,3,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b0042,fixB,GCF_003697165.2,EAS44_RS20410,fixB,comparable,1,21,0,21,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b0045,yaaU,GCF_003697165.2,EAS44_RS20395,yaaU,comparable,15,26,5,21,5,0,10,0,0,0,partially_shared_variants
GCF_000005845.2,b0046,kefF,GCF_003697165.2,EAS44_RS20390,kefF,comparable,1,15,0,15,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b0047,kefC,GCF_003697165.2,EAS44_RS20385,kefC,comparable,1,61,0,61,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b0048,folA,GCF_003697165.2,EAS44_RS20380,folA,comparable,0,11,0,11,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0049,apaH,GCF_003697165.2,EAS44_RS20365,apaH,comparable,10,20,5,15,5,0,5,0,0,0,partially_shared_variants
GCF_000005845.2,b0050,apaG,GCF_003697165.2,EAS44_RS20360,apaG,comparable,1,1,1,0,1,0,0,0,0,0,same_exact_variants
GCF_000005845.2,b0051,rsmA,GCF_003697165.2,EAS44_RS20355,rsmA,comparable,7,13,4,9,4,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b0053,surA,GCF_003697165.2,EAS44_RS20345,surA,comparable,3,12,2,10,2,0,1,0,0,0,partially_shared_variants
GCF_000005845.2,b0054,lptD,GCF_003697165.2,EAS44_RS20340,lptD,comparable,2,56,2,54,2,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0055,djlA,GCF_003697165.2,EAS44_RS20335,djlA,comparable,1,18,1,17,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0058,rluA,GCF_003697165.2,EAS44_RS20330,rluA,comparable,1,15,0,15,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b0059,rapA,GCF_003697165.2,EAS44_RS20325,rapA,comparable,1,46,1,45,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0060,polB,GCF_003697165.2,EAS44_RS20320,polB,comparable,33,94,14,80,14,0,19,0,0,0,partially_shared_variants
GCF_000005845.2,b0061,araD,GCF_003697165.2,EAS44_RS20315,araD,comparable,17,24,10,14,10,0,7,0,0,0,partially_shared_variants
GCF_000005845.2,b0062,araA,GCF_003697165.2,EAS44_RS20310,araA,comparable,21,56,9,47,9,0,12,0,0,0,partially_shared_variants
GCF_000005845.2,b0063,araB,GCF_003697165.2,EAS44_RS20305,araB,comparable,22,34,7,27,7,0,15,0,0,0,partially_shared_variants
GCF_000005845.2,b0064,araC,GCF_003697165.2,EAS44_RS20300,araC,comparable,9,22,5,17,5,1,2,0,0,1,unresolved_liftover
GCF_000005845.2,b0065,yabI,GCF_003697165.2,EAS44_RS20285,yabI,comparable,29,37,21,16,21,0,8,0,0,0,partially_shared_variants
GCF_000005845.2,b0066,thiQ,GCF_003697165.2,EAS44_RS20280,thiQ,comparable,26,41,11,30,11,0,15,0,0,0,partially_shared_variants
GCF_000005845.2,b0067,thiP,GCF_003697165.2,EAS44_RS20275,thiP,comparable,42,63,24,39,24,0,18,0,0,0,partially_shared_variants
GCF_000005845.2,b0068,thiB,GCF_003697165.2,EAS44_RS20270,thiB,comparable,0,51,0,51,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0069,sgrR,GCF_003697165.2,EAS44_RS20265,sgrR,comparable,41,37,13,24,13,0,28,0,0,0,partially_shared_variants
GCF_000005845.2,b0071,leuD,GCF_003697165.2,EAS44_RS20255,leuD,comparable,1,15,0,15,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b0072,leuC,GCF_003697165.2,EAS44_RS20250,leuC,comparable,1,51,1,50,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0073,leuB,GCF_003697165.2,EAS44_RS20245,leuB,comparable,0,43,0,43,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0074,leuA,GCF_003697165.2,EAS44_RS20240,leuA,comparable,13,43,4,39,4,0,9,0,0,0,partially_shared_variants
GCF_000005845.2,b0075,leuL,GCF_003697165.2,EAS44_RS20235,leuL,comparable,0,1,0,1,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0076,leuO,GCF_003697165.2,EAS44_RS20230,leuO,comparable,1,18,0,18,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b0077,ilvI,GCF_003697165.2,EAS44_RS20225,ilvI,comparable,5,59,2,57,2,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b0078,ilvH,GCF_003697165.2,EAS44_RS20220,ilvN,comparable,1,8,1,7,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0080,cra,GCF_003697165.2,EAS44_RS20210,cra,comparable,0,17,0,17,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0081,mraZ,GCF_003697165.2,EAS44_RS20205,mraZ,comparable,2,1,1,0,1,0,1,0,0,0,partially_shared_variants
GCF_000005845.2,b0082,rsmH,GCF_003697165.2,EAS44_RS20200,rsmH,comparable,2,10,0,10,0,0,2,0,0,0,reference_allele_difference
GCF_000005845.2,b0083,ftsL,GCF_003697165.2,EAS44_RS20195,ftsL,comparable,0,5,0,5,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0084,ftsI,GCF_003697165.2,EAS44_RS20190,ftsI,comparable,11,22,4,18,4,0,7,0,0,0,partially_shared_variants
GCF_000005845.2,b0085,murE,GCF_003697165.2,EAS44_RS20185,murE,comparable,15,39,8,31,8,0,7,0,0,0,partially_shared_variants
GCF_000005845.2,b0086,murF,GCF_003697165.2,EAS44_RS20180,murF,comparable,1,41,0,41,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b0087,mraY,GCF_003697165.2,EAS44_RS20175,mraY,comparable,0,30,0,30,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0088,murD,GCF_003697165.2,EAS44_RS20170,murD,comparable,0,25,0,25,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0089,ftsW,GCF_003697165.2,EAS44_RS20165,ftsW,comparable,0,18,0,18,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0090,murG,GCF_003697165.2,EAS44_RS20160,murG,comparable,0,17,0,17,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0091,murC,GCF_003697165.2,EAS44_RS20155,murC,comparable,20,23,9,14,9,0,11,0,0,0,partially_shared_variants
GCF_000005845.2,b0092,ddlB,GCF_003697165.2,EAS44_RS20150,ddlB,comparable,10,13,4,9,4,0,6,0,0,0,partially_shared_variants
GCF_000005845.2,b0093,ftsQ,GCF_003697165.2,EAS44_RS20145,ftsQ,comparable,6,5,2,3,2,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b0094,ftsA,GCF_003697165.2,EAS44_RS20140,ftsA,comparable,3,20,3,17,3,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0095,ftsZ,GCF_003697165.2,EAS44_RS20135,ftsZ,comparable,0,13,0,13,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0096,lpxC,GCF_003697165.2,EAS44_RS20130,lpxC,comparable,0,9,0,9,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0097,secM,GCF_003697165.2,EAS44_RS20125,secM,comparable,0,11,0,11,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0098,secA,GCF_003697165.2,EAS44_RS20120,secA,comparable,0,48,0,48,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0099,mutT,GCF_003697165.2,EAS44_RS20115,mutT,comparable,0,12,0,12,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0101,yacG,GCF_003697165.2,EAS44_RS20110,yacG,comparable,0,1,0,1,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0102,zapD,GCF_003697165.2,EAS44_RS20105,zapD,comparable,0,9,0,9,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0103,coaE,GCF_003697165.2,EAS44_RS20100,coaE,comparable,1,5,0,5,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b0104,guaC,GCF_003697165.2,EAS44_RS20095,guaC,comparable,1,19,1,18,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0106,hofC,GCF_003697165.2,EAS44_RS20090,hofC,comparable,1,45,1,44,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0107,hofB,GCF_003697165.2,EAS44_RS20085,gspE,comparable,0,36,0,36,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0108,ppdD,GCF_003697165.2,EAS44_RS20080,ppdD,comparable,0,4,0,4,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0109,nadC,GCF_003697165.2,EAS44_RS20075,nadC,comparable,0,16,0,16,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0110,ampD,GCF_003697165.2,EAS44_RS20070,ampD,comparable,0,12,0,12,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0111,ampE,GCF_003697165.2,EAS44_RS20065,ampE,comparable,1,12,1,11,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0112,aroP,GCF_003697165.2,EAS44_RS20060,aroP,comparable,0,44,0,44,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0113,pdhR,GCF_003697165.2,EAS44_RS20025,pdhR,comparable,0,4,0,4,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0114,aceE,GCF_003697165.2,EAS44_RS20020,aceE,comparable,0,35,0,35,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0115,aceF,GCF_003697165.2,EAS44_RS20015,aceF,comparable,0,34,0,34,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0116,lpd,GCF_003697165.2,EAS44_RS20010,lpdA,comparable,0,21,0,21,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0118,acnB,GCF_003697165.2,EAS44_RS20000,acnB,comparable,0,80,0,80,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0119,yacL,GCF_003697165.2,EAS44_RS19995,yacL,comparable,0,14,0,14,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0120,speD,GCF_003697165.2,EAS44_RS19990,speD,comparable,0,17,0,17,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0121,speE,GCF_003697165.2,EAS44_RS19985,speE,comparable,0,23,0,23,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0122,yacC,GCF_003697165.2,EAS44_RS19980,yacC,comparable,0,7,0,7,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0123,cueO,GCF_003697165.2,EAS44_RS19975,cueO,comparable,0,49,0,49,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0124,gcd,GCF_003697165.2,EAS44_RS19970,gcd,comparable,0,86,0,86,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0125,hpt,GCF_003697165.2,EAS44_RS19965,hpt,comparable,0,2,0,2,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0126,can,GCF_003697165.2,EAS44_RS19960,can,comparable,0,11,0,11,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0127,yadG,GCF_003697165.2,EAS44_RS19955,yadG,comparable,0,17,0,17,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0128,yadH,GCF_003697165.2,EAS44_RS19950,yadH,comparable,0,19,0,19,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0129,yadI,GCF_003697165.2,EAS44_RS19945,yadI,comparable,0,9,0,9,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0130,yadE,GCF_003697165.2,EAS44_RS19940,yadE,comparable,0,47,0,47,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0131,panD,GCF_003697165.2,EAS44_RS19935,panD,comparable,0,5,0,5,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0132,rpnC,GCF_003697165.2,EAS44_RS19930,rpnC,comparable,0,36,0,36,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0133,panC,GCF_003697165.2,EAS44_RS19925,panC,comparable,0,47,0,47,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0143,pcnB,GCF_003697165.2,EAS44_RS19875,pcnB,comparable,0,35,0,35,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0144,gluQ,GCF_003697165.2,EAS44_RS19870,gluQRS,comparable,0,46,0,46,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0145,dksA,GCF_003697165.2,EAS44_RS19865,dksA,comparable,0,0,0,0,0,0,0,0,0,0,same_exact_variants
GCF_000005845.2,b0146,sfsA,GCF_003697165.2,EAS44_RS19860,sfsA,comparable,0,8,0,8,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0147,thpR,GCF_003697165.2,EAS44_RS19855,thpR,comparable,0,7,0,7,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0148,hrpB,GCF_003697165.2,EAS44_RS19850,hrpB,comparable,0,98,0,98,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0149,mrcB,GCF_003697165.2,EAS44_RS19845,mrcB,comparable,0,93,0,93,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0150,fhuA,GCF_003697165.2,EAS44_RS19840,fhuA,comparable,8,54,3,51,3,0,5,0,0,0,partially_shared_variants
GCF_000005845.2,b0151,fhuC,GCF_003697165.2,EAS44_RS19835,fhuC,comparable,0,22,0,22,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0152,fhuD,GCF_003697165.2,EAS44_RS19830,fhuD,comparable,0,31,0,31,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0153,fhuB,GCF_003697165.2,EAS44_RS19825,fhuB,comparable,0,78,0,78,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0154,hemL,GCF_003697165.2,EAS44_RS19820,hemL,comparable,0,30,0,30,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b4765,yadX,GCF_003697165.2,EAS44_RS25415,yadX,comparable,0,0,0,0,0,0,0,0,0,0,same_exact_variants
GCF_000005845.2,b0155,clcA,GCF_003697165.2,EAS44_RS19815,clcA,comparable,0,30,0,30,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b4728,yadW,GCF_003697165.2,EAS44_RS19810,yadW,comparable,0,0,0,0,0,0,0,0,0,0,same_exact_variants
GCF_000005845.2,b0156,erpA,GCF_003697165.2,EAS44_RS19805,erpA,comparable,0,2,0,2,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0157,yadS,GCF_003697165.2,EAS44_RS19800,yadS,comparable,2,7,1,6,1,0,1,0,0,0,partially_shared_variants
GCF_000005845.2,b0158,btuF,GCF_003697165.2,EAS44_RS19795,btuF,comparable,5,5,2,3,2,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b0159,mtn,GCF_003697165.2,EAS44_RS19790,mtnN,comparable,4,6,1,5,1,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b0160,dgt,GCF_003697165.2,EAS44_RS19785,dgt,comparable,9,33,7,26,7,0,2,0,0,0,partially_shared_variants
GCF_000005845.2,b0161,degP,GCF_003697165.2,EAS44_RS19780,degP,comparable,9,47,7,40,7,0,2,0,0,0,partially_shared_variants
GCF_000005845.2,b0162,cdaR,GCF_003697165.2,EAS44_RS19775,cdaR,comparable,5,20,4,16,4,0,1,0,0,0,partially_shared_variants
GCF_000005845.2,b0163,yaeH,GCF_003697165.2,EAS44_RS19770,yaeH,comparable,0,5,0,5,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0166,dapD,GCF_003697165.2,EAS44_RS19765,dapD,comparable,26,39,21,18,21,0,5,0,0,0,partially_shared_variants
GCF_000005845.2,b0167,glnD,GCF_003697165.2,EAS44_RS19760,glnD,comparable,30,77,25,52,25,0,5,0,0,0,partially_shared_variants
GCF_000005845.2,b0168,map,GCF_003697165.2,EAS44_RS19755,map,comparable,0,8,0,8,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0169,rpsB,GCF_003697165.2,EAS44_RS19750,rpsB,comparable,0,2,0,2,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0170,tsf,GCF_003697165.2,EAS44_RS19745,tsf,comparable,2,3,1,2,1,0,1,0,0,0,partially_shared_variants
GCF_000005845.2,b0171,pyrH,GCF_003697165.2,EAS44_RS19740,pyrH,comparable,0,4,0,4,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0172,frr,GCF_003697165.2,EAS44_RS19735,frr,comparable,0,3,0,3,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0173,dxr,GCF_003697165.2,EAS44_RS19730,ispC,comparable,0,7,0,7,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0174,ispU,GCF_003697165.2,EAS44_RS19725,ispU,comparable,1,2,0,2,0,0,1,0,0,0,reference_allele_difference
GCF_000005845.2,b0175,cdsA,GCF_003697165.2,EAS44_RS19720,cdsA,comparable,0,12,0,12,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0176,rseP,GCF_003697165.2,EAS44_RS19715,rseP,comparable,5,12,5,7,5,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0177,bamA,GCF_003697165.2,EAS44_RS19710,bamA,comparable,3,34,2,32,2,0,1,0,0,0,partially_shared_variants
GCF_000005845.2,b0178,skp,GCF_003697165.2,EAS44_RS19705,skp,comparable,0,3,0,3,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0179,lpxD,GCF_003697165.2,EAS44_RS19700,lpxD,comparable,1,15,1,14,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0180,fabZ,GCF_003697165.2,EAS44_RS19695,fabZ,comparable,0,1,0,1,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0181,lpxA,GCF_003697165.2,EAS44_RS19690,lpxA,comparable,0,7,0,7,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0182,lpxB,GCF_003697165.2,EAS44_RS19685,lpxB,comparable,1,33,1,32,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0183,rnhB,GCF_003697165.2,EAS44_RS19680,rnhB,comparable,17,24,14,10,14,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b0184,dnaE,GCF_003697165.2,EAS44_RS19675,dnaE,comparable,46,68,15,53,15,0,31,0,0,0,partially_shared_variants
GCF_000005845.2,b0185,accA,GCF_003697165.2,EAS44_RS19670,accA,comparable,18,28,14,14,14,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b0187,yaeR,GCF_003697165.2,EAS44_RS19660,yaeR,comparable,7,7,2,5,2,0,5,0,0,0,partially_shared_variants
GCF_000005845.2,b0188,tilS,GCF_003697165.2,EAS44_RS19655,tilS,comparable,50,73,23,50,23,0,27,0,0,0,partially_shared_variants
GCF_000005845.2,b0189,rof,GCF_003697165.2,EAS44_RS19650,rof,comparable,6,9,2,7,2,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b4406,yaeP,GCF_003697165.2,EAS44_RS19645,yaeP,comparable,0,1,0,1,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0190,yaeQ,GCF_003697165.2,EAS44_RS19640,yaeQ,comparable,3,21,3,18,3,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0191,arfB,GCF_003697165.2,EAS44_RS19635,arfB,comparable,9,16,4,12,4,0,5,0,0,0,partially_shared_variants
GCF_000005845.2,b0192,nlpE,GCF_003697165.2,EAS44_RS19630,nlpE,comparable,15,29,11,18,11,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b0193,yaeF,GCF_003697165.2,EAS44_RS19625,yaeF,comparable,17,32,6,26,6,0,11,0,0,0,partially_shared_variants
GCF_000005845.2,b0194,proS,GCF_003697165.2,EAS44_RS19620,proS,comparable,20,53,13,40,13,0,7,0,0,0,partially_shared_variants
GCF_000005845.2,b0195,trmO,GCF_003697165.2,EAS44_RS19615,tsaA,comparable,14,12,3,9,3,0,11,0,0,0,partially_shared_variants
GCF_000005845.2,b0196,rcsF,GCF_003697165.2,EAS44_RS19610,rcsF,comparable,4,5,2,3,2,0,2,0,0,0,partially_shared_variants
GCF_000005845.2,b0198,metI,GCF_003697165.2,EAS44_RS19600,metI,comparable,11,15,7,8,7,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b0199,metN,GCF_003697165.2,EAS44_RS19595,metN,comparable,13,12,8,4,8,0,5,0,0,0,partially_shared_variants
GCF_000005845.2,b0200,gmhB,GCF_003697165.2,EAS44_RS19590,gmhB,comparable,5,9,2,7,2,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b0207,dkgB,GCF_003697165.2,EAS44_RS19555,dkgB,comparable,11,23,7,16,7,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b0208,yafC,GCF_003697165.2,EAS44_RS19550,yafC,comparable,3,14,2,12,2,0,1,0,0,0,partially_shared_variants
GCF_000005845.2,b0209,yafD,GCF_003697165.2,EAS44_RS19545,yafD,comparable,1,8,1,7,1,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0211,mltD,GCF_003697165.2,EAS44_RS19535,mltD,comparable,9,18,5,13,5,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b0212,gloB,GCF_003697165.2,EAS44_RS19530,gloB,comparable,2,15,2,13,2,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0213,yafS,GCF_003697165.2,EAS44_RS19525,yafS,comparable,13,19,9,10,9,0,4,0,0,0,partially_shared_variants
GCF_000005845.2,b0214,rnhA,GCF_003697165.2,EAS44_RS19520,rnhA,comparable,7,12,5,7,5,0,2,0,0,0,partially_shared_variants
GCF_000005845.2,b0215,dnaQ,GCF_003697165.2,EAS44_RS19515,dnaQ,comparable,12,11,5,6,5,0,7,0,0,0,partially_shared_variants
