block_id,direction,source_accession,target_accession,query_name,query_length,query_start,query_end,strand,target_name,target_length,target_start,target_end,matches,alignment_bases,identity,mapq,alignment_type,chain_score,secondary_score,qualifying,reciprocal
GCF_003697165.2_to_GCF_000005845.2:11,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1581288,1683136,-,NC_000913.3,4641652,2343390,2449147,98404,106128,0.92721996,60,P,71433,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:12,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1121116,1216752,-,NC_000913.3,4641652,2788869,2877629,85807,95956,0.89423277,60,P,61108,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:13,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,983257,1099963,-,NC_000913.3,4641652,2906521,2987243,78874,116872,0.67487508,60,P,63683,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:14,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1260541,1345465,-,NC_000913.3,4641652,2673262,2755852,79943,85454,0.93550916,60,P,62497,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:15,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3767737,3847348,-,NC_000913.3,4641652,157310,237989,77454,80954,0.95676557,60,P,62931,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:16,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1684614,1763053,-,NC_000913.3,4641652,2259745,2341918,76556,82191,0.93144018,60,P,60024,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:17,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,913956,983250,-,NC_000913.3,4641652,2998919,3073892,67400,75059,0.89796027,60,P,50661,5029,true,false
GCF_003697165.2_to_GCF_000005845.2:18,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,4074028,4173814,-,NC_000913.3,4641652,4507135,4571726,62972,100110,0.62902807,60,P,55791,5046,false,false
GCF_003697165.2_to_GCF_000005845.2:19,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,4175831,4237822,-,NC_000913.3,4641652,4427692,4496490,60331,69096,0.87314750,60,P,48903,5046,true,true
GCF_003697165.2_to_GCF_000005845.2:20,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3886753,3949178,-,NC_000913.3,4641652,59686,121627,59030,63782,0.92549622,60,P,44892,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:21,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,4010711,4064731,-,NC_000913.3,4641652,4588020,4641645,52957,54092,0.97901723,60,P,50429,5046,true,true
GCF_003697165.2_to_GCF_000005845.2:22,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2647419,2749074,-,NC_000913.3,4641652,1295370,1351162,53294,102878,0.51803107,60,P,41986,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:23,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,259809,318995,-,NC_000913.3,4641652,3564128,3618987,52265,60112,0.86946034,60,P,36211,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:24,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3400955,3448713,-,NC_000913.3,4641652,587125,636600,46098,49488,0.93149855,60,P,30238,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:25,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2523233,2568750,-,NC_000913.3,4641652,1473632,1526853,44016,53252,0.82656050,60,P,29913,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:26,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3949329,3990719,-,NC_000913.3,4641652,17358,58177,38351,42529,0.90176115,60,P,27217,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:27,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2600453,2639515,-,NC_000913.3,4641652,1351837,1400336,37224,49176,0.75695461,60,P,25133,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:28,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3359656,3395468,-,NC_000913.3,4641652,643499,687842,35072,44352,0.79076479,60,P,28919,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:29,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,719030,762972,-,NC_000913.3,4641652,3131343,3167819,35307,44179,0.79918061,60,P,26796,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:30,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1345666,1377074,-,NC_000913.3,4641652,2635891,2667931,30649,32050,0.95628705,60,P,23998,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:31,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,87927,127776,-,NC_000913.3,4641652,3754971,3796877,31148,49454,0.62983783,60,P,21244,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:32,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,873130,904530,-,NC_000913.3,4641652,3079642,3110252,29635,31533,0.93980909,60,P,22793,5029,true,false
GCF_003697165.2_to_GCF_000005845.2:33,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3615658,3647895,-,NC_000913.3,4641652,342725,390349,31053,47639,0.65183988,60,P,20773,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:34,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2469809,2499810,-,NC_000913.3,4641652,1552790,1590079,29209,37310,0.78287322,60,P,21646,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:35,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2758827,2787477,-,NC_000913.3,4641652,1256718,1286560,28053,29843,0.94001944,60,P,22864,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:36,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2801930,2831792,-,NC_000913.3,4641652,1212496,1245048,28927,32699,0.88464479,60,P,21474,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:37,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,26215,68762,-,NC_000913.3,4641652,3818005,3853065,32977,43018,0.76658608,60,P,21436,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:38,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3319084,3357288,-,NC_000913.3,4641652,689345,720538,28268,40285,0.70170038,60,P,21379,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:39,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,4500461,4535239,-,NC_000913.3,4641652,4227740,4260047,27678,38636,0.71637851,60,P,19919,5046,false,false
GCF_003697165.2_to_GCF_000005845.2:40,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1792588,1823578,-,NC_000913.3,4641652,2198516,2229067,29260,31034,0.94283689,60,P,18319,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:41,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3288914,3318471,-,NC_000913.3,4641652,721060,765148,28460,44167,0.64437250,60,P,19288,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:42,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3855006,3882564,-,NC_000913.3,4641652,121910,149678,26526,27956,0.94884819,60,P,19696,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:43,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1824032,1850565,-,NC_000913.3,4641652,2171444,2198056,25707,26616,0.96584761,60,P,17911,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:44,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1957883,1982844,-,NC_000913.3,4641652,2076312,2101285,24374,24974,0.97597501,60,P,19071,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:45,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1888484,1920582,-,NC_000913.3,4641652,2139759,2167637,25822,33064,0.78097024,60,P,15833,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:46,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3653156,3684161,-,NC_000913.3,4641652,317402,342569,24033,31277,0.76839211,60,P,16075,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:47,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1769699,1792190,-,NC_000913.3,4641652,2229447,2251939,21972,22494,0.97679381,60,P,17675,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:48,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2066968,2088554,-,NC_000913.3,4641652,2012562,2034143,21132,21593,0.97865049,60,P,16713,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:49,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,4536301,4558679,-,NC_000913.3,4641652,4202525,4227501,21701,24983,0.86863067,60,P,15267,5046,true,false
GCF_003697165.2_to_GCF_000005845.2:50,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1921327,1942241,-,NC_000913.3,4641652,2118679,2139486,20232,20932,0.96655838,60,P,14571,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:51,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2008148,2025544,-,NC_000913.3,4641652,2049251,2070491,16906,21251,0.79553903,60,P,13016,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:52,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,8254,26058,-,NC_000913.3,4641652,3853755,3875473,17148,21724,0.78935739,60,P,11518,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:53,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2500236,2517516,-,NC_000913.3,4641652,1533285,1552682,16559,19415,0.85289724,60,P,10460,5029,true,false
GCF_003697165.2_to_GCF_000005845.2:54,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3995262,4010704,-,NC_000913.3,4641652,0,15390,14962,15567,0.96113574,60,P,12270,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:55,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,771362,789348,-,NC_000913.3,4641652,3112125,3130145,17002,18030,0.94298392,60,P,10479,5029,true,false
GCF_003697165.2_to_GCF_000005845.2:56,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1104718,1120853,-,NC_000913.3,4641652,2887310,2903446,15466,16136,0.95847794,60,P,9669,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:57,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3715772,3732009,-,NC_000913.3,4641652,246783,262828,14536,17145,0.84782735,60,P,9115,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:58,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2450279,2464630,-,NC_000913.3,4641652,1590749,1620209,13428,29962,0.44816768,60,P,8943,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:59,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,4459026,4471347,-,NC_000913.3,4641652,4269306,4281629,11961,12324,0.97054528,60,P,7783,5046,true,true
GCF_003697165.2_to_GCF_000005845.2:60,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3689416,3707914,-,NC_000913.3,4641652,302913,315186,11847,18510,0.64003241,60,P,7904,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:61,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2577098,2588152,-,NC_000913.3,4641652,1435112,1446168,10807,11056,0.97747829,60,P,8516,5029,true,false
GCF_003697165.2_to_GCF_000005845.2:62,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,692403,705881,-,NC_000913.3,4641652,3173507,3183324,9579,13478,0.71071376,60,P,8280,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:63,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,68979,78821,-,NC_000913.3,4641652,3807955,3817788,9560,9851,0.97045985,60,P,7789,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:64,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1564276,1573979,-,NC_000913.3,4641652,2456333,2467584,9380,11251,0.83370367,60,P,6196,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:65,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,0,7628,-,NC_000913.3,4641652,3876101,3883729,7476,7628,0.98007341,60,P,5991,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:66,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,4681187,4688984,-,NC_000913.3,4641652,4079187,4088038,7571,8854,0.85509374,60,P,5344,5046,false,false
GCF_003697165.2_to_GCF_000005845.2:67,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2750185,2757357,-,NC_000913.3,4641652,1287064,1294416,7053,7352,0.95933079,60,P,6043,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:68,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2787904,2795126,-,NC_000913.3,4641652,1245736,1252959,7078,7223,0.97992524,60,P,5571,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:69,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2092690,2100035,-,NC_000913.3,4641652,2003160,2010505,7123,7345,0.96977536,60,P,4857,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:70,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1942401,1950530,-,NC_000913.3,4641652,2110276,2118405,7665,8129,0.94292041,60,P,3557,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:71,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3732252,3738833,-,NC_000913.3,4641652,239362,245945,6420,6583,0.97523925,60,P,4691,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:72,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2059160,2065960,-,NC_000913.3,4641652,2035228,2042025,6575,6801,0.96676959,60,P,4615,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:73,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2590136,2596378,-,NC_000913.3,4641652,1405976,1412218,6125,6242,0.98125601,60,P,4914,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:74,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3452688,3459292,-,NC_000913.3,4641652,551525,557711,6015,6605,0.91067373,60,P,4271,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:75,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,4485094,4500296,-,NC_000913.3,4641652,4261764,4268305,6283,15219,0.41283921,60,P,4353,5046,false,false
GCF_003697165.2_to_GCF_000005845.2:76,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,248757,253987,-,NC_000913.3,4641652,3625591,3630820,5053,5230,0.96615679,60,P,3174,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:77,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3395764,3400266,-,NC_000913.3,4641652,637289,641869,4317,4584,0.94175393,60,P,3187,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:78,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,127822,132536,-,NC_000913.3,4641652,3746066,3750780,4392,4714,0.93169283,60,P,1530,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:79,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,715582,719025,-,NC_000913.3,4641652,3168746,3172189,3365,3443,0.97734534,60,P,2530,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:80,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1764138,1768749,-,NC_000913.3,4641652,2254078,2258693,4234,4617,0.91704570,60,P,1568,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:81,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,905981,909348,-,NC_000913.3,4641652,3076015,3079383,3225,3368,0.95754157,60,P,1855,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:82,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,4691716,4694660,-,NC_000913.3,4641652,4075494,4078438,2838,2944,0.96399457,60,P,1854,5046,false,false
GCF_003697165.2_to_GCF_000005845.2:83,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2057457,2058921,-,NC_000913.3,4641652,2043037,2044501,1443,1464,0.98565574,60,P,1249,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:84,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,909346,910488,-,NC_000913.3,4641652,3074225,3075367,1093,1142,0.95709282,60,P,593,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:85,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1103556,1104684,-,NC_000913.3,4641652,2904378,2905507,1080,1129,0.95659876,60,P,644,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:86,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3847757,3851977,-,NC_000913.3,4641652,152681,156893,3447,4229,0.81508631,60,P,153,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:87,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033091.2,131333,21336,22668,+,NC_000913.3,4641652,2996360,2997692,1312,1332,0.98498498,0,P,1149,1149,false,false
GCF_003697165.2_to_GCF_000005845.2:88,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033091.2,131333,21336,22668,+,NC_000913.3,4641652,1467909,1469241,1312,1332,0.98498498,0,S,1149,,false,false
GCF_003697165.2_to_GCF_000005845.2:89,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033091.2,131333,21336,22668,-,NC_000913.3,4641652,3186094,3187426,1312,1332,0.98498498,0,S,1142,,false,false
GCF_003697165.2_to_GCF_000005845.2:90,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033091.2,131333,21335,22667,-,NC_000913.3,4641652,4498180,4499512,1312,1332,0.98498498,0,S,1149,,false,false
GCF_003697165.2_to_GCF_000005845.2:91,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033091.2,131333,21336,22667,+,NC_000913.3,4641652,2068940,2070271,1311,1331,0.98497370,0,S,1149,,false,false
GCF_003697165.2_to_GCF_000005845.2:92,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033091.2,131333,21336,22667,-,NC_000913.3,4641652,381259,382590,1311,1331,0.98497370,0,S,1149,,false,false
GCF_003697165.2_to_GCF_000005845.2:93,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033091.2,131333,112361,113132,-,NC_000913.3,4641652,3583425,3584196,766,771,0.99351492,1,P,730,725,false,false
GCF_003697165.2_to_GCF_000005845.2:94,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033091.2,131333,128652,129420,-,NC_000913.3,4641652,1978502,1979270,763,768,0.99348958,1,P,725,725,false,false
GCF_003697165.2_to_GCF_000005845.2:95,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033091.2,131333,105371,106139,+,NC_000913.3,4641652,19795,20563,760,768,0.98958333,1,P,696,696,false,false
GCF_003697165.2_to_GCF_000005845.2:96,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033091.2,131333,23236,23749,-,NC_000913.3,4641652,578335,578859,467,525,0.88952381,60,P,106,57,false,false
GCF_000005845.2_to_GCF_003697165.2:1,GCF_000005845.2_to_GCF_003697165.2,GCF_000005845.2,GCF_003697165.2,NC_000913.3,4641652,3281070,3563518,-,NZ_CP033092.2,4903501,328952,598841,255203,291363,0.87589364,60,P,209257,5029,true,true
GCF_000005845.2_to_GCF_003697165.2:2,GCF_000005845.2_to_GCF_003697165.2,GCF_000005845.2,GCF_003697165.2,NC_000913.3,4641652,915348,1196351,-,NZ_CP033092.2,4903501,2879292,3145398,250255,290906,0.86026070,60,P,198770,5029,true,true
GCF_000005845.2_to_GCF_003697165.2:3,GCF_000005845.2_to_GCF_003697165.2,GCF_000005845.2,GCF_003697165.2,NC_000913.3,4641652,1620247,1843693,-,NZ_CP033092.2,4903501,2250050,2443995,189533,223496,0.84803755,60,P,147743,5029,false,false
GCF_000005845.2_to_GCF_003697165.2:4,GCF_000005845.2_to_GCF_003697165.2,GCF_000005845.2,GCF_003697165.2,NC_000913.3,4641652,1845167,2002343,-,NZ_CP033092.2,4903501,2101113,2249790,145319,157268,0.92402142,60,P,114504,5029,true,true
GCF_000005845.2_to_GCF_003697165.2:5,GCF_000005845.2_to_GCF_003697165.2,GCF_000005845.2,GCF_003697165.2,NC_000913.3,4641652,2906521,3073892,-,NZ_CP033092.2,4903501,913956,1099963,146279,203607,0.71843797,60,P,114363,5029,false,false
